id,road,region,value
989,Diamond Street,Adamsdown,0.025304146
1008,Dowlais Road,Splott,0.123273571
1013,Drawlings Close,Old St. Mellons,0.18985
1017,Druidstone Road,Old St. Mellons,0.532725426
1032,Dunbar Close,Pontprennau,0.174906667
1033,Duncan Close,Old St. Mellons,0.193597059
1034,Dungarvan Drive,Pontprennau,0.191690526
1057,East Moors Road,Splott,0.101965556
1060,East Tyndall Street,Splott,0.117920926
1061,Eastern Business Park,Old St. Mellons,0.067050476
1062,Eastern Close,Old St. Mellons,0.181538
1064,Eclipse Street,Adamsdown,0.03217037
1093,Emerald Street,Adamsdown,0.010567407
1095,Enbourne Drive,Pontprennau,0.041552222
1107,Eurwg Crescent,Old St. Mellons,0.145908889
1109,Evenwood Close,Pontprennau,0.1474225
1119,Eyre Street,Splott,0.018798929
1146,Falfield Close,Lisvane,0.279878182
1151,Farmville Road,Splott,0.0510815
1153,Felbrigg Crescent,Pontprennau,0.237444545
1156,Felsted Close,Pontprennau,0.241914545
1170,Ffordd Brynhyfryd,Old St. Mellons,0.080192917
1181,Ffordd Ottoway,Splott,0.039018
1203,Fitzalan Place,Adamsdown,0.073729429
1204,Fitzalan Road,Adamsdown,0.153765278
1205,Fitzhamon Embankment,Riverside,0.092286389
1212,Florence Street,Splott,0.016716154
1225,Forgeside Close,Splott,0.017683333
1229,Fort Street,Adamsdown,0.006764444
1234,Four Elms Road,Adamsdown,0.081088824
1237,Fox Street,Adamsdown,0.01751125
1238,Foxberry Close,Pontprennau,0.160242
1244,Freshmoor Road,Splott,0.172265588
1252,Galdames Place,Splott,0.151494
1255,Galston Street,Adamsdown,0.022048889
1257,Garesfield Street,Adamsdown,0.096212692
1263,Gateside Close,Pontprennau,0.269589474
1264,Gaulden Grove,Pontprennau,0.140361176
1267,Gelli Frongoch,Pontprennau,0.181613158
1298,Glass Avenue,Splott,0.073887619
1308,Glossop Road,Adamsdown,0.12457375
1309,Gloucester Street,Riverside,0.005175263
1322,Gold Street,Adamsdown,0.028837692
1332,Gould Close,Old St. Mellons,0.249718824
1339,Graig Road,Lisvane,0.4761
1340,Graig View,Lisvane,0.383781667
1348,Grangewood Close,Pontprennau,0.231815
1353,Gray Street,Riverside,0.003202
1361,Green Street,Riverside,0.012127826
1362,Greenacre Drive,Pontprennau,0.333320333
1374,Greenway Road,Old St. Mellons,0.277468966
1378,Greenwood Close,Pontprennau,0.174220714
1392,Guildford Crescent,Adamsdown,0.032320909
1398,Gwendoline Place,Splott,0.260995714
1399,Gwendoline Street,Splott,0.001006364
1404,Habershon Street,Splott,0.012626914
1431,Harefield Close,Pontprennau,0.228221667
1435,Harold Street,Adamsdown,0.044362727
1446,Hastings Crescent,Old St. Mellons,0.176636145
1471,Heath Street,Riverside,0.021484
1473,Heathcliffe Close,Old St. Mellons,0.146784
1485,Helen Place,Adamsdown,0.064461071
1486,Helen Street,Adamsdown,0.1192525
1512,Heol Camddwr,Pontprennau,0.481628148
1515,Heol Cefn Onn,Lisvane,0.239659649
1536,Heol Glandulais,Pontprennau,0.525153036
1538,Heol Glaslyn,Pontprennau,0.56152
1546,Heol Hir,Lisvane,0.286327143
1580,Heol Pontprennau,Pontprennau,0.435428029
1587,Heol St Denys,Lisvane,0.223943636
1598,Heol Ty Ffynnon,Pontprennau,0.2860615
1611,Heol y Delyn,Lisvane,0.301761456
1628,Hickory Court,Splott,0.1033075
1629,High Bank,Pontprennau,0.29061
1641,Hillcot Close,Lisvane,0.255714444
1648,Hinton Street,Splott,0.134313333
1654,Hollington Drive,Pontprennau,0.202202903
1655,Holly Grove,Lisvane,0.246786667
1665,Holmeside,Lisvane,0.2285
1674,Horwood Close,Splott,0.108225938
1675,Hotham Close,Pontprennau,0.169737273
1677,Howard Gardens,Adamsdown,0.219264706
1678,Howard Place,Adamsdown,0.247416667
1679,Howard Street,Splott,0.005566154
1680,Howard Terrace,Adamsdown,0.15637
1689,Huntingdon Drive,Pontprennau,0.471114186
1694,Hyssop Close,Pontprennau,0.127242727
1695,Idencroft Close,Pontprennau,0.139682
