id,road,region,value,city
1050,Earl Lane,Grangetown,0.026637647,Cardiff
1051,Earl Street,Grangetown,0.059113333,Cardiff
1052,Earle Place,Canton,0.057509091,Cardiff
1053,Earls Court Place,Penylan,0.079606364,Cardiff
1054,East Bay Close,Butetown,0.234330303,Cardiff
1055,East Grove,Roath,0.261945217,Cardiff
1056,East Moors Road,Butetown,0.040431143,Cardiff
1057,East Moors Road,Splott,0.101965556,Cardiff
1058,East Rise,Llanishen,0.289490625,Cardiff
1059,East Tyndall Street,Butetown,0.124003816,Cardiff
1060,East Tyndall Street,Splott,0.117920926,Cardiff
1061,Eastern Business Park,Old St. Mellons,0.067050476,Cardiff
1062,Eastern Close,Old St. Mellons,0.181538,Cardiff
1063,Ebwy Court,Caerau,0.12066375,Cardiff
1064,Eclipse Street,Adamsdown,0.03217037,Cardiff
1065,Eddystone Close,Grangetown,0.127028125,Cardiff
1066,Edgehill Avenue,Llanishen,0.298350833,Cardiff
1067,Edington Avenue,Gabalfa,0.039018125,Cardiff
1068,Edmond's Court,Roath,0.197861667,Cardiff
1069,Edward Clarke Close,Llandaff,0.081664762,Cardiff
1070,Edward Nicholl Court,Penylan,0.167943571,Cardiff
1071,Egerton Street,Canton,0.030782609,Cardiff
1072,Egham Street,Canton,0.066041429,Cardiff
1073,Egremont Road,Penylan,0.19620339,Cardiff
1074,Eider Close,Trowbridge,0.09047,Cardiff
1075,Elaine Close,Thornhill,0.334538333,Cardiff
1076,Elan Road,Llanishen,0.184751429,Cardiff
1077,Elder Wood Close,Penylan,0.059744,Cardiff
1078,Elderberry Road,Fairwater,0.05436,Cardiff
1079,Eleanor Place,Butetown,0.043494091,Cardiff
1080,Elfed Green,Fairwater,0.113425588,Cardiff
1081,Elford Road,Ely,0.1137392,Cardiff
1082,Elgar Crescent,Llanrumney,0.158305577,Cardiff
1083,Ellen Street,Butetown,0.102587692,Cardiff
1084,Ellesmere Court,Trowbridge,0.0350275,Cardiff
1085,Ellwood Close,Trowbridge,0.140583,Cardiff
1086,Elm Grove Road,Whitchurch,0.1243975,Cardiff
1087,Elm Street,Roath,0.075942909,Cardiff
1088,Elmfield Close,Trowbridge,0.133034,Cardiff
1089,Ely Road,Canton,0.132602791,Cardiff
1090,Ely Road,Fairwater,0.0999005,Cardiff
1091,Ely Road,Llandaff,0.274978706,Cardiff
1092,Emblem Close,Caerau,0.189683182,Cardiff
1093,Emerald Street,Adamsdown,0.010567407,Cardiff
1094,Emerson Drive,Caerau,0.14645,Cardiff
1095,Enbourne Drive,Pontprennau,0.041552222,Cardiff
1096,Ennerdale Close,Penylan,0.14506,Cardiff
1097,Epsom Close,Caerau,0.069785,Cardiff
1098,Epstein Close,Llandaff,0.041486667,Cardiff
1099,Erw Las,Whitchurch,0.222083659,Cardiff
1100,Erw Wen,Rhiwbina,0.251475833,Cardiff
1101,Eskdale Close,Penylan,0.342295,Cardiff
1102,Essich Street,Roath,0.01082875,Cardiff
1103,Ethel Street,Canton,0.012585714,Cardiff
1104,Eton Court,Heath,0.161190488,Cardiff
1105,Eton Place,Canton,0.0212275,Cardiff
1106,Eugene Close,Trowbridge,0.076580909,Cardiff
1107,Eurwg Crescent,Old St. Mellons,0.145908889,Cardiff
1108,Evansfield Road,Llandaff North,0.055272174,Cardiff
1109,Evenwood Close,Pontprennau,0.1474225,Cardiff
1110,Everard Way,Cyncoed,0.191894118,Cardiff
1111,Everest Avenue,Llanishen,0.169264831,Cardiff
1112,Everest Walk,Llanishen,0.191241923,Cardiff
1113,Everswell Avenue,Fairwater,0.108417895,Cardiff
1114,Everswell Road,Fairwater,0.064585278,Cardiff
1115,Ewenny Road,Llanishen,0.214141154,Cardiff
1116,Excalibur Drive,Thornhill,0.330760215,Cardiff
1117,Excelsior Road,Gabalfa,0.151629333,Cardiff
1118,Exford Crescent,Llanrumney,0.059746875,Cardiff
1119,Eyre Street,Splott,0.018798929,Cardiff
1120,Faber Way,Grangetown,0.226613333,Cardiff
1121,Fairacre Close,Thornhill,0.28723,Cardiff
1122,Fairbrook Close,Rhiwbina,0.299526667,Cardiff
1123,Fairfax Road,Heath,0.086119,Cardiff
1124,Fairfield Avenue,Canton,0.031682857,Cardiff
1125,Fairfield Close,Canton,0.093118571,Cardiff
1126,Fairhaven Close,Trowbridge,0.243358261,Cardiff
1127,Fairleigh Court,Pontcanna,0.197896667,Cardiff
1128,Fairleigh Road,Pontcanna,0.0470575,Cardiff
1129,Fairoak Court,Penylan,0.112225,Cardiff
1130,Fairoak Road,Cathays,0.273177922,Cardiff
1131,Fairoak Road,Roath,0.245565,Cardiff
1132,Fairthorn Close,Thornhill,0.175777059,Cardiff
1133,Fairview Close,Trowbridge,0.109009167,Cardiff
1134,Fairview Court,Pentwyn,0.2392875,Cardiff
1135,Fairwater Avenue,Fairwater,0.113286,Cardiff
1136,Fairwater Green,Fairwater,0.171806667,Cardiff
1137,Fairwater Grove East,Llandaff,0.060546786,Cardiff
1138,Fairwater Grove West,Llandaff,0.063328421,Cardiff
1139,Fairwater Road,Fairwater,0.504653371,Cardiff
1140,Fairwater Road,Llandaff,0.264970538,Cardiff
1141,Fairways Crescent,Fairwater,0.074874063,Cardiff
1142,Fairwood Close,Fairwater,0.227333333,Cardiff
1143,Fairwood Road,Fairwater,0.248612421,Cardiff
1144,Falcon Drive,Butetown,0.02103,Cardiff
1145,Falconwood Drive,St. Fagans,0.149231892,Cardiff
1146,Falfield Close,Lisvane,0.279878182,Cardiff
1147,Fanny Street,Cathays,0.030023973,Cardiff
1148,Farm Drive,Cyncoed,0.277417895,Cardiff
1149,Farmhouse Way,Caerau,0.244762609,Cardiff
1150,Farmleigh,Rumney,0.145339444,Cardiff
1151,Farmville Road,Splott,0.0510815,Cardiff
1152,Felbridge Close,Butetown,0.212295,Cardiff
1153,Felbrigg Crescent,Pontprennau,0.237444545,Cardiff
1154,Felin Fach,Whitchurch,0.15902075,Cardiff
1155,Felin Wen,Rhiwbina,0.35809,Cardiff
1156,Felsted Close,Pontprennau,0.241914545,Cardiff
1157,Fennel Close,Trowbridge,0.088374,Cardiff
1158,Fenviolet Close,Trowbridge,0.285015714,Cardiff
1159,Fern Place,Fairwater,0.168916667,Cardiff
1160,Fern Street,Canton,0.02443,Cardiff
1161,Ferndale Street,Grangetown,0.002540833,Cardiff
1162,Ferntree Drive,Trowbridge,0.179089,Cardiff
1163,Ferny Court,Penylan,0.275921,Cardiff
1164,Ferrier Avenue,Fairwater,0.235038356,Cardiff
1165,Ferry Road,Grangetown,0.159491845,Cardiff
1166,Fescue Place,St. Fagans,0.199136,Cardiff
1167,Festiniog Road,Llandaff North,0.286501842,Cardiff
1168,Ffordd-y-barcer,St. Fagans,0.123129444,Cardiff
1169,Ffordd Bodlyn,Penylan,0.303923333,Cardiff
1170,Ffordd Brynhyfryd,Old St. Mellons,0.080192917,Cardiff
1171,Ffordd Celyn,Whitchurch,0.228546667,Cardiff
1172,Ffordd Cwellyn,Penylan,0.19923525,Cardiff
1173,Ffordd Daniel Lewis,Trowbridge,0.159601333,Cardiff
1174,Ffordd Ffagan,Trowbridge,0.154323,Cardiff
1175,Ffordd James McGhan,Grangetown,0.08593,Cardiff
1176,Ffordd Kanetone,Canton,0.305975,Cardiff
1177,Ffordd Las,Radyr and Morganstown,0.407956842,Cardiff
1178,Ffordd Mograig,Llanishen,0.0981975,Cardiff
1179,Ffordd Morgannwg,Whitchurch,0.226169318,Cardiff
1180,Ffordd Nowell,Penylan,0.043458101,Cardiff
1181,Ffordd Ottoway,Splott,0.039018,Cardiff
1182,Ffordd Pengam,Tremorfa,0.500203462,Cardiff
1183,Ffordd Radcliffe,Butetown,0.16126,Cardiff
1184,Ffordd Tŷ Unnos,Heath,0.106074375,Cardiff
1185,Ffordd Treforgan,Radyr and Morganstown,0.424875972,Cardiff
1186,Ffordd y Berllan,Radyr and Morganstown,0.25454587,Cardiff
1187,Fidlas Avenue,Cyncoed,0.1399625,Cardiff
1188,Fidlas Avenue,Llanishen,0.16172,Cardiff
1189,Fidlas Road,Cyncoed,0.085717581,Cardiff
1190,Fidlas Road,Llanishen,0.215606932,Cardiff
1191,Fieldfare Drive,Trowbridge,0.112527317,Cardiff
1192,Fielding Close,Llanrumney,0.0887975,Cardiff
1193,Fields Park Road,Pontcanna,0.148927917,Cardiff
1194,Finchley Road,Fairwater,0.044279286,Cardiff
1195,Firs Avenue,Fairwater,0.130328723,Cardiff
1196,Firstbrook Close,Penylan,0.283455833,Cardiff
1197,Firtree Close,Fairwater,0.219958,Cardiff
1198,Firwood Close,Whitchurch,0.307832222,Cardiff
1199,Fisher Hill Way,Radyr and Morganstown,0.091768475,Cardiff
1200,Fishguard Close,Llanishen,0.189699091,Cardiff
1201,Fishguard Road,Llanishen,0.190137163,Cardiff
1202,Fishpond Road,Llanrumney,0.323389048,Cardiff
1203,Fitzalan Place,Adamsdown,0.073729429,Cardiff
1204,Fitzalan Road,Adamsdown,0.153765278,Cardiff
1205,Fitzhamon Embankment,Riverside,0.092286389,Cardiff
1206,Fitzroy Street,Cathays,0.017803429,Cardiff
1207,Fitzroy Street,Roath,0.1143425,Cardiff
1208,Flaxland Avenue,Gabalfa,0.073414375,Cardiff
1209,Flindo Crescent,Canton,0.116687308,Cardiff
1210,Flint Street,Gabalfa,0.101433333,Cardiff
1211,Flora Street,Cathays,0.008195581,Cardiff
1212,Florence Street,Splott,0.016716154,Cardiff
1213,Florentia Street,Cathays,0.004723667,Cardiff
1214,Fonmon Crescent,Ely,0.097531143,Cardiff
1215,Fonthill Place,Grangetown,0.19347375,Cardiff
1216,Fontigary Road,Rumney,0.113810909,Cardiff
1217,Fordwell,Llandaff,0.419931053,Cardiff
1218,Foreland Road,Whitchurch,0.139843261,Cardiff
1219,Foreshore Road,Butetown,0.206023,Cardiff
1220,Forest Farm Road,Whitchurch,0.585816393,Cardiff
1221,Forest Glade,Whitchurch,0.092002857,Cardiff
1222,Forest Oak Close,Cyncoed,0.263409,Cardiff
1223,Forest View,Fairwater,0.21561,Cardiff
1224,Forge Place,Ely,0.152042,Cardiff
1225,Forgeside Close,Splott,0.017683333,Cardiff
1226,Forrest Road,Canton,0.010009804,Cardiff
1227,Forrest Street,Grangetown,0.001986667,Cardiff
1228,Forsythia Drive,Pentwyn,0.300178333,Cardiff
1229,Fort Street,Adamsdown,0.006764444,Cardiff
1230,Fortran Road,Trowbridge,0.612279818,Cardiff
1231,Foster Drive,Penylan,0.274409615,Cardiff
1232,Foundry Close,Canton,0.05665875,Cardiff
1233,Fountain Lane,Trowbridge,0.476791765,Cardiff
1234,Four Elms Road,Adamsdown,0.081088824,Cardiff
1235,Four Elms Road,Roath,0.1888,Cardiff
1236,Fox Russell Close,Llandaff North,0.257850769,Cardiff
1237,Fox Street,Adamsdown,0.01751125,Cardiff
1238,Foxberry Close,Pontprennau,0.160242,Cardiff
1239,Foxglove Close,Ely,0.132149091,Cardiff
1240,Frank Road,Ely,0.318034815,Cardiff
1241,Franklen Road,Whitchurch,0.081672941,Cardiff
1242,Franklen Street,Grangetown,0.0060225,Cardiff
1243,Fremington Place,Llanrumney,0.127683333,Cardiff
1244,Freshmoor Road,Splott,0.172265588,Cardiff
1245,Frewer Avenue,Fairwater,0.223327021,Cardiff
1246,Fulmar Close,Trowbridge,0.196145,Cardiff
1247,Furness Close,Ely,0.207331053,Cardiff
1248,Gabalfa Avenue,Llandaff North,0.376732905,Cardiff
1249,Gabalfa Road,Llandaff North,0.162589762,Cardiff
1250,Gaerwen Close,Llanishen,0.076800476,Cardiff
1251,Galahad Close,Thornhill,0.106596471,Cardiff
1252,Galdames Place,Splott,0.151494,Cardiff
1253,Gallamuir Road,Tremorfa,0.1115725,Cardiff
1254,Galleon Way,Butetown,0.195081034,Cardiff
1255,Galston Street,Adamsdown,0.022048889,Cardiff
1256,Gardenia Close,Pentwyn,0.388885,Cardiff
1257,Garesfield Street,Adamsdown,0.096212692,Cardiff
1258,Gareth Close,Thornhill,0.140282581,Cardiff
1259,Garrick Drive,Thornhill,0.1457575,Cardiff
1260,Garth Close,Radyr and Morganstown,0.263581429,Cardiff
1261,Garth Place,Llandaff North,0.189700909,Cardiff
1262,Garthorne Road,Butetown,0.191056,Cardiff
1263,Gateside Close,Pontprennau,0.269589474,Cardiff
1264,Gaulden Grove,Pontprennau,0.140361176,Cardiff
1265,Gawain Close,Thornhill,0.21909,Cardiff
1266,Gelli Deg,Rhiwbina,0.1875,Cardiff
1267,Gelli Frongoch,Pontprennau,0.181613158,Cardiff
1268,Gelligaer Gardens,Cathays,0.2580275,Cardiff
1269,Gelligaer Street,Cathays,0.09436507,Cardiff
1270,Gelynis Terrace North,Radyr and Morganstown,0.440114286,Cardiff
1271,Georgian Way,Llanishen,0.078454615,Cardiff
1272,Geraint Close,Thornhill,0.171645,Cardiff
1273,Gerddi Tŷ Celyn,Whitchurch,0.29969,Cardiff
1274,Gerddi Taf,Llandaff,0.156275882,Cardiff
1275,Gernant,Rhiwbina,0.25172,Cardiff
1276,Gibson Close,Llanishen,0.117193158,Cardiff
1277,Gilbert Place,Llandaff North,0.134545714,Cardiff
1278,Gileston Road,Pontcanna,0.058355833,Cardiff
1279,Gillian Road,Llandaff,0.2695915,Cardiff
1280,Gilwern Crescent,Llanishen,0.140076667,Cardiff
1281,Gladeside Close,Thornhill,0.178934,Cardiff
1282,Gladys Street,Cathays,0.016735,Cardiff
1283,Glamorgan Street,Canton,0.019108519,Cardiff
1284,Glan-y-Mor Road,Trowbridge,0.10990973,Cardiff
1285,Glan-y-Nant Road,Whitchurch,0.060269231,Cardiff
1286,Glan-y-Nant Terrace,Whitchurch,0.084289231,Cardiff
1287,Glan Ely Close,Fairwater,0.267928704,Cardiff
1288,Glan Rhymni,Tremorfa,0.099542813,Cardiff
1289,Glandovey Grove,Trowbridge,0.135189143,Cardiff
1290,Glandwr Place,Whitchurch,0.088348636,Cardiff
1291,Glanhowny Close,Butetown,0.103597,Cardiff
1292,Glanmuir Road,Tremorfa,0.142582105,Cardiff
1293,Glanrhyd,Rhiwbina,0.33303,Cardiff
1294,Glas Canol,Whitchurch,0.163053636,Cardiff
1295,Glas Efail,Rhiwbina,0.17605,Cardiff
1296,Glas Ifor,Heath,0.04474,Cardiff
1297,Glas Y Pant,Whitchurch,0.085211333,Cardiff
1298,Glass Avenue,Splott,0.073887619,Cardiff
1299,Glastonbury Terrace,Llanrumney,0.141449697,Cardiff
1300,Glebe Place,Llanishen,0.44758,Cardiff
1301,Glen View,Llanishen,0.337341818,Cardiff
1302,Glendale Avenue,Llanishen,0.146876364,Cardiff
1303,Glenmount Way,Thornhill,0.335540526,Cardiff
1304,Glenrise Close,Trowbridge,0.175469048,Cardiff
1305,Glenroy Street,Roath,0.014888125,Cardiff
1306,Glenside Court,Penylan,0.176578,Cardiff
1307,Glenwood,Llanedeyrn,0.078720625,Cardiff
1308,Glossop Road,Adamsdown,0.12457375,Cardiff
1309,Gloucester Street,Riverside,0.005175263,Cardiff
1310,Glyn Coed Road,Llanedeyrn,0.431684375,Cardiff
1311,Glyn Coed Road,Pentwyn,0.374151552,Cardiff
1312,Glyn Eiddew,Pentwyn,0.073614803,Cardiff
1313,Glyn Rhosyn,Pentwyn,0.066860789,Cardiff
1314,Glyn Rhymni,Rumney,0.08227875,Cardiff
1315,Glyn Simon Close,Llandaff,0.189514167,Cardiff
1316,Glyndwr Road,Ely,0.069902222,Cardiff
1317,Glynne Street,Pontcanna,0.02200625,Cardiff
1318,Glynrhondda Street,Cathays,0.045055556,Cardiff
1319,Glynstell Close,Grangetown,0.071378125,Cardiff
1320,Godwin Close,Llandaff,0.120476,Cardiff
1321,Goetre Fawr,Radyr and Morganstown,0.048547,Cardiff
1322,Gold Street,Adamsdown,0.028837692,Cardiff
1323,Goldcrest Drive,Cyncoed,0.4952,Cardiff
1324,Goldcrest Drive,Pentwyn,0.407941111,Cardiff
1325,Goldsmith Close,Llanrumney,0.0644275,Cardiff
1326,Goodwick Road,Rumney,0.140108571,Cardiff
1327,Goodwood Close,Ely,0.111347778,Cardiff
1328,Gordon Road,Roath,0.103310294,Cardiff
1329,Gorse Place,Fairwater,0.148181429,Cardiff
1330,Gorsedd Gardens Road,Castle,0.185456957,Cardiff
1331,Gough Road,Ely,0.0881976,Cardiff
1332,Gould Close,Old St. Mellons,0.249718824,Cardiff
1333,Gowan Court,Thornhill,0.230057143,Cardiff
1334,Gower Street,Cathays,0.018086176,Cardiff
1335,Grafton Close,Penylan,0.237609091,Cardiff
1336,Grafton Terrace,Rhiwbina,0.118735,Cardiff
1337,Graham Close,Penylan,0.332677143,Cardiff
1338,Graig Lwyd,Radyr and Morganstown,0.146858947,Cardiff
1339,Graig Road,Lisvane,0.4761,Cardiff
1340,Graig View,Lisvane,0.383781667,Cardiff
1341,Graig Wen,Radyr and Morganstown,0.2638,Cardiff
1342,Grand Avanue,Ely,0.14969,Cardiff
1343,Grand Avenue,Ely,0.24162581,Cardiff
1344,Grange Gardens,Grangetown,0.38009,Cardiff
1345,Grange Place,Grangetown,0.029693529,Cardiff
1346,Grangetown Link,Canton,0.533847143,Cardiff
1347,Grangetown Link,Grangetown,0.580341795,Cardiff
1348,Grangewood Close,Pontprennau,0.231815,Cardiff
1349,Grantham Close,Fairwater,0.101498,Cardiff
1350,Granville Avenue,Canton,0.189778261,Cardiff
1351,Grasmere Avenue,Cyncoed,0.222444545,Cardiff
1352,Gray Street,Pontcanna,0.106987273,Cardiff
1353,Gray Street,Riverside,0.003202,Cardiff
1354,Great Burnet Close,Trowbridge,0.14875,Cardiff
1355,Greek Church Street,Butetown,0.045983333,Cardiff
1356,Green Farm Close,Ely,0.191478235,Cardiff
1357,Green Farm Road,Caerau,0.10243,Cardiff
1358,Green Farm Road,Ely,0.191998241,Cardiff
1359,Green Meadows,Trowbridge,0.073744848,Cardiff
1360,Green Place,Radyr and Morganstown,0.14948,Cardiff
1361,Green Street,Riverside,0.012127826,Cardiff
1362,Greenacre Drive,Pontprennau,0.333320333,Cardiff
1363,Greenbay Road,Tremorfa,0.060618947,Cardiff
1364,Greenclose Road,Whitchurch,0.2640425,Cardiff
1365,Greencroft Avenue,Caerau,0.048388333,Cardiff
1366,Greenfield Avenue,Canton,0.1893865,Cardiff
1367,Greenfield Avenue,Heath,0.166907143,Cardiff
1368,Greenfield Road,Heath,0.098661282,Cardiff
1369,Greenland Crescent,Fairwater,0.102193,Cardiff
1370,Greenlawns,Penylan,0.264031538,Cardiff
1371,Greenock Road,Rumney,0.083426154,Cardiff
1372,Greenock Road,Trowbridge,0.174345,Cardiff
1373,Greenway Avenue,Rumney,0.104915333,Cardiff
1374,Greenway Road,Old St. Mellons,0.277468966,Cardiff
1375,Greenway Road,Rumney,0.265311079,Cardiff
1376,Greenway Road,Trowbridge,0.242875772,Cardiff
1377,Greenwich Road,Canton,0.12697,Cardiff
1378,Greenwood Close,Pontprennau,0.174220714,Cardiff
1379,Greenwood Road,Llandaff,0.1657344,Cardiff
1380,Grenville Road,Penylan,0.0903,Cardiff
1381,Gresford Close,Trowbridge,0.089542143,Cardiff
1382,Greyfriars Road,Castle,0.062147,Cardiff
1383,Grisedale Close,Penylan,0.241414,Cardiff
1384,Groes Lon,Rhiwbina,0.135487368,Cardiff
1385,Gron Ffordd,Rhiwbina,0.324113636,Cardiff
1386,Grosvenor Street,Canton,0.015464783,Cardiff
1387,Grouse Street,Roath,0.060188333,Cardiff
1388,Grove Place,Heath,0.21023,Cardiff
1389,Grove Way,Rumney,0.185971667,Cardiff
1390,Groveland Road,Heath,0.075672941,Cardiff
1391,Guenever Close,Thornhill,0.177899535,Cardiff
1392,Guildford Crescent,Adamsdown,0.032320909,Cardiff
1393,Guildford Crescent,Castle,0.043279286,Cardiff
1394,Guildford Street,Castle,0.028850769,Cardiff
1395,Guildhall Place,Castle,0.0074225,Cardiff
1396,Gwaun Close,Whitchurch,0.174625714,Cardiff
1397,Gwbert Close,Trowbridge,0.084683077,Cardiff
1398,Gwendoline Place,Splott,0.260995714,Cardiff
1399,Gwendoline Street,Splott,0.001006364,Cardiff
1400,Gwennyth Street,Cathays,0.013567917,Cardiff
1401,Gwent Road,Ely,0.075374,Cardiff
1402,Gwernrhuddi Road,Cyncoed,0.508764342,Cardiff
1403,Gwynant Crescent,Cyncoed,0.2114204,Cardiff
1404,Habershon Street,Splott,0.012626914,Cardiff
1405,Hackerford Road,Cyncoed,0.115979032,Cardiff
1406,Hadfield Close,Canton,0.110835909,Cardiff
1407,Hadfield Road,Canton,0.181435254,Cardiff
1408,Hadfield Road,Grangetown,0.093622424,Cardiff
1409,Hafod Street,Grangetown,0.027150435,Cardiff
1410,Hafren Court,Pontcanna,0.181613636,Cardiff
1411,Haig Place,Ely,0.101272222,Cardiff
1412,Halifax Close,Tremorfa,0.161553636,Cardiff
1413,Halliard Court,Butetown,0.200978214,Cardiff
1414,Halsbury Road,Canton,0.062629583,Cardiff
1415,Hamadryad Road,Butetown,0.163423333,Cardiff
1416,Hamilton Street,Pontcanna,0.097101695,Cardiff
1417,Hammond Way,Penylan,0.32520058,Cardiff
1418,Hampton Court Road,Penylan,0.189904912,Cardiff
1419,Hampton Crescent East,Cyncoed,0.162732857,Cardiff
1420,Hampton Crescent West,Cyncoed,0.104298286,Cardiff
1421,Hampton Road,Heath,0.056441667,Cardiff
1422,Hanbury Close,Whitchurch,0.299244667,Cardiff
1423,Handley Road,Tremorfa,0.109688913,Cardiff
1424,Hannah Close,Llanishen,0.170205,Cardiff
1425,Hannah Street,Butetown,0.097510625,Cardiff
1426,Hanover Street,Canton,0.0119564,Cardiff
1427,Hansom Place,Grangetown,0.0822,Cardiff
1428,Harbour Drive,Butetown,0.129555,Cardiff
1429,Hardwicke Court,Llandaff,0.228169,Cardiff
1430,Hardy Place,Roath,0.02936,Cardiff
1431,Harefield Close,Pontprennau,0.228221667,Cardiff
1432,Harford Close,Whitchurch,0.187435882,Cardiff
1433,Harlech Road,Rumney,0.115917105,Cardiff
1434,Harlequin Court,Penylan,0.22275125,Cardiff
1435,Harold Street,Adamsdown,0.044362727,Cardiff
1436,Harpur Street,Butetown,0.014864,Cardiff
1437,Harriet Street,Cathays,0.057790952,Cardiff
1438,Harris Avenue,Rumney,0.168175543,Cardiff
1439,Harrismith Road,Penylan,0.157173043,Cardiff
1440,Harrison Drive,Trowbridge,0.139486207,Cardiff
1441,Harrison Way,Grangetown,0.209689487,Cardiff
1442,Harrowby Street,Butetown,0.077737273,Cardiff
1443,Hart Place,Tremorfa,0.115076923,Cardiff
1444,Hartland Road,Llanrumney,0.29094375,Cardiff
1445,Hartley Place,Grangetown,0.076982857,Cardiff
1446,Hastings Crescent,Old St. Mellons,0.176636145,Cardiff
1447,Hatherleigh Road,Llanrumney,0.098198788,Cardiff
1448,Haul Fryn,Rhiwbina,0.187093,Cardiff
1449,Havannah Street,Butetown,0.199960357,Cardiff
1450,Havelock Place,Grangetown,0.028535263,Cardiff
1451,Havelock Street,Castle,0.094612222,Cardiff
1452,Havenwood Drive,Thornhill,0.217908421,Cardiff
1453,Haverford Way,Caerau,0.069635439,Cardiff
1454,Hawfinch Close,Pentwyn,0.292152353,Cardiff
1455,Hawker Close,Tremorfa,0.092715,Cardiff
1456,Hawkwood Close,Fairwater,0.08326875,Cardiff
1457,Hawthorn Road East,Llandaff North,0.041937632,Cardiff
1458,Hawthorn Road West,Llandaff North,0.030118636,Cardiff
1459,Hayes Bridge Road,Castle,0.041218667,Cardiff
1460,Hazel Tree Close,Radyr and Morganstown,0.271107794,Cardiff
1461,Hazeldene Avenue,Cathays,0.018185238,Cardiff
1462,Hazelhurst Road,Llandaff North,0.056647727,Cardiff
1463,Hazelwood Drive,Trowbridge,0.16055439,Cardiff
1464,Hazlitt Close,Llanrumney,0.0727425,Cardiff
1465,Heath Halt Road,Cyncoed,0.441607826,Cardiff
1466,Heath Mead,Heath,0.267222237,Cardiff
1467,Heath Park Avenue,Heath,0.192897253,Cardiff
1468,Heath Park Crescent,Heath,0.181088182,Cardiff
1469,Heath Park Drive,Heath,0.465219048,Cardiff
1470,Heath Park Way,Heath,0.246953232,Cardiff
1471,Heath Street,Riverside,0.021484,Cardiff
1472,Heathbrook,Llanishen,0.244481111,Cardiff
1473,Heathcliffe Close,Old St. Mellons,0.146784,Cardiff
1474,Heather Avenue,Caerau,0.097087,Cardiff
1475,Heathfield Place,Gabalfa,0.033098824,Cardiff
1476,Heathfield Road,Gabalfa,0.055284286,Cardiff
1477,Heathway,Heath,0.125742308,Cardiff
1478,Heathwood Grove,Heath,0.182167317,Cardiff
1479,Heathwood Road,Cyncoed,0.41237,Cardiff
1480,Heathwood Road,Heath,0.298471302,Cardiff
1481,Heathwood Road,Llanishen,0.440913889,Cardiff
1482,Heddfaen North,Pentwyn,0.101722273,Cardiff
1483,Heddfaen South,Pentwyn,0.119808,Cardiff
1484,Hedel Road,Canton,0.168865455,Cardiff
1485,Helen Place,Adamsdown,0.064461071,Cardiff
1486,Helen Street,Adamsdown,0.1192525,Cardiff
1487,Hemingway Road,Butetown,0.1675424,Cardiff
1488,Hendre Close,Llandaff,0.193330625,Cardiff
1489,Hendre Gardens,Llandaff,0.156880909,Cardiff
1490,Hendre Road,Trowbridge,0.072335146,Cardiff
1491,Hendy Street,Roath,0.085865833,Cardiff
1492,Hengoed Close,Caerau,0.092002,Cardiff
1493,Henke Court,Butetown,0.0552275,Cardiff
1494,Henllys Road,Cyncoed,0.258908438,Cardiff
1495,Henry Street,Butetown,0.046083333,Cardiff
1496,Heol-y-berllan,Caerau,0.068176667,Cardiff
1497,Heol-y-Bont,Rhiwbina,0.149582941,Cardiff
1498,Heol-y-castell,Caerau,0.093169048,Cardiff
1499,Heol-y-Felin,Ely,0.157833529,Cardiff
1500,Heol-y-gaer,Caerau,0.075657037,Cardiff
1501,Heol-Y-Pavin,Llandaff,0.332712667,Cardiff
1502,Heol-y-Waun,Whitchurch,0.096685957,Cardiff
1503,Heol-yr-odyn,Caerau,0.051454063,Cardiff
1504,Heol Aer,Rhiwbina,0.112978824,Cardiff
1505,Heol Amlwch,Llandaff North,0.175672444,Cardiff
1506,Heol Aradur,Llandaff,0.160881915,Cardiff
1507,Heol Blakemore,Whitchurch,0.167694667,Cardiff
1508,Heol Booker,Whitchurch,0.07897449,Cardiff
1509,Heol Briwnant,Rhiwbina,0.141667792,Cardiff
1510,Heol Bryn Glas,Rhiwbina,0.634448889,Cardiff
1511,Heol Cae Rhys,Rhiwbina,0.1199675,Cardiff
1512,Heol Camddwr,Pontprennau,0.481628148,Cardiff
1513,Heol Carnau,Caerau,0.045969891,Cardiff
1514,Heol Carne,Whitchurch,0.15149,Cardiff
1515,Heol Cefn Onn,Lisvane,0.239659649,Cardiff
1516,Heol Chappell,Whitchurch,0.152933514,Cardiff
1517,Heol Chudleigh,Trowbridge,0.046701429,Cardiff
1518,Heol Coed Cae,Whitchurch,0.073534762,Cardiff
1519,Heol Collen,Wenvoe,0.328090984,Cardiff
1520,Heol Dennant,Fairwater,0.170858667,Cardiff
1521,Heol Derlwyn,Rhiwbina,0.189766522,Cardiff
1522,Heol Deva,Caerau,0.097533947,Cardiff
1523,Heol Dewi Sant,Heath,0.043946667,Cardiff
1524,Heol Dolwen,Whitchurch,0.07507881,Cardiff
1525,Heol Don,Whitchurch,0.2645175,Cardiff
1526,Heol Draenen Wen,Wenvoe,0.12555,Cardiff
1527,Heol Dyfed,Heath,0.115726667,Cardiff
1528,Heol Ebwy,Caerau,0.165191875,Cardiff
1529,Heol Eglwys,Caerau,0.056907353,Cardiff
1530,Heol Erwin,Rhiwbina,0.12142878,Cardiff
1531,Heol Esgyn,Cyncoed,0.220313125,Cardiff
