id,road,region,value,city
116,Atlantic Wharf,Butetown,0.058078667,Cardiff
117,Atlas Place,Canton,0.04858375,Cardiff
118,Atlas Road,Canton,0.043509143,Cardiff
119,Atlas Road,Riverside,0.047563333,Cardiff
120,Attfield Close,Penylan,0.242602857,Cardiff
121,Aubrey Avenue,Canton,0.075745556,Cardiff
122,Augusta Street,Adamsdown,0.0029075,Cardiff
123,Austen Close,Llanrumney,0.07584,Cardiff
124,Australia Road,Gabalfa,0.056499138,Cardiff
125,Avoca Place,Grangetown,0.024541667,Cardiff
126,Avondale Crescent,Grangetown,0.035619508,Cardiff
127,Avondale Gardens,Grangetown,0.093130833,Cardiff
128,Avondale Gardens South,Grangetown,0.168231364,Cardiff
129,Avondale Road,Grangetown,0.22432569,Cardiff
130,Avonmuir Road,Tremorfa,0.14964,Cardiff
131,Avonridge,Thornhill,0.103404054,Cardiff
132,Axbridge Crescent,Llanrumney,0.192578596,Cardiff
133,Axminster Road,Penylan,0.158992727,Cardiff
134,Azalea Close,Pentwyn,0.187176471,Cardiff
135,Baber Close,Penylan,0.137898,Cardiff
136,Bacton Road,Llandaff North,0.1648388,Cardiff
137,Baden Road,Tremorfa,0.077651,Cardiff
138,Bader Close,Llanishen,0.1447,Cardiff
139,Bailey Close,Fairwater,0.121348333,Cardiff
140,Bakers Row,Castle,0.000687778,Cardiff
141,Bala Road,Llandaff North,0.147156071,Cardiff
142,Balaclava Road,Penylan,0.054419167,Cardiff
143,Baldwin Close,Llandaff,0.22898,Cardiff
144,Ball Close,Llanrumney,0.086676667,Cardiff
145,Ball Lane,Llanrumney,0.197299286,Cardiff
146,Ball Road,Llanrumney,0.09348884,Cardiff
147,Balmoral Close,Lisvane,0.280963,Cardiff
148,Baltimore Close,Pontprennau,0.1884175,Cardiff
149,Bampton Road,Llanrumney,0.122417727,Cardiff
150,Banastre Avenue,Gabalfa,0.086956429,Cardiff
151,Bangor Court,Roath,0.22655,Cardiff
152,Bangor Street,Roath,0.10429697,Cardiff
153,Bankside Close,Thornhill,0.151168333,Cardiff
154,Banwell Place,Llanrumney,0.101212,Cardiff
155,Bardsey Crescent,Llanishen,0.099485,Cardiff
156,Bargoed Street,Grangetown,0.069044615,Cardiff
157,Barmouth Road,Rumney,0.160711045,Cardiff
158,Barnard Avenue,Caerau,0.220215806,Cardiff
159,Barnfield Close,Pontprennau,0.179639,Cardiff
160,Barnfield Dr,Radyr and Morganstown,0.176478947,Cardiff
161,Barnstaple Road,Llanrumney,0.058942571,Cardiff
162,Barnwood Crescent,Ely,0.088861667,Cardiff
163,Baron's Court Road,Penylan,0.094474872,Cardiff
164,Barquentine Place,Butetown,0.386938333,Cardiff
165,Barrington Road,Whitchurch,0.081237647,Cardiff
166,Bartley Wilson Way,Canton,0.086723448,Cardiff
167,Basil Place,Cathays,0.031320909,Cardiff
168,Bassaleg Close,Trowbridge,0.024406667,Cardiff
169,Bassett Street,Canton,0.01400875,Cardiff
170,Bassetts Field,Rhiwbina,0.188155946,Cardiff
171,Baynton Close,Llandaff,0.084984615,Cardiff
172,Bayside Road,Splott,0.132252941,Cardiff
173,Beacon Street,Pontcanna,0.036668889,Cardiff
174,Beale Close,Llandaff,0.276610469,Cardiff
175,Beatrice Road,Whitchurch,0.072878966,Cardiff
176,Beatty Avenue,Cyncoed,0.284621831,Cardiff
177,Beauchamp Street,Riverside,0.0757636,Cardiff
178,Beaufort Square,Tremorfa,0.067410784,Cardiff
179,Beaumaris Road,Rumney,0.184206486,Cardiff
180,Beck Court,Pontprennau,0.158009091,Cardiff
181,Beckgrove Close,Tremorfa,0.244935455,Cardiff
182,Beda Road,Canton,0.007138065,Cardiff
183,Bedavere Close,Thornhill,0.141133571,Cardiff
184,Bedford Place,Roath,0.125473333,Cardiff
185,Bedford Street,Roath,0.056712128,Cardiff
186,Bedwas Close,Trowbridge,0.033129091,Cardiff
187,Bedwas Street,Grangetown,0.007765714,Cardiff
188,Beech Road,Fairwater,0.185907714,Cardiff
189,Beech Tree Close,Radyr and Morganstown,0.215846,Cardiff
190,Beecher Avenue,Grangetown,0.13101,Cardiff
191,Beechley Drive,Fairwater,0.181532874,Cardiff
192,Beechley Drive,St. Fagans,0.10471,Cardiff
193,Began Road,Old St. Mellons,0.732869661,Cardiff
194,Beignon Close,Splott,0.155327273,Cardiff
195,Belgrave Close,Thornhill,0.158001667,Cardiff
196,Belle Vue Crescent,Llandaff North,0.03296,Cardiff
197,Beresford Road,Adamsdown,0.026755385,Cardiff
198,Beresford Road Lane,Adamsdown,0.028938095,Cardiff
199,Berkeley Square,Wenvoe,0.226557857,Cardiff
200,Bernard Avenue,Canton,0.050003333,Cardiff
201,Berry Place,Fairwater,0.112542333,Cardiff
202,Berrymead Road,Cyncoed,0.148105581,Cardiff
203,Berthwin Street,Pontcanna,0.137094,Cardiff
204,Bertram Street,Adamsdown,0.027011154,Cardiff
205,Bessborough Drive,Grangetown,0.086309545,Cardiff
206,Bessemer Close,Grangetown,0.221920811,Cardiff
207,Bessemer Road,Grangetown,0.1108905,Cardiff
208,Bethania Row,Old St. Mellons,0.504169091,Cardiff
209,Bethel Place,Llanishen,0.179506667,Cardiff
210,Bettws-Y-Coed Road,Cyncoed,0.231781644,Cardiff
211,Beulah Road,Rhiwbina,0.236372963,Cardiff
212,Bevan Place,Gabalfa,0.22658,Cardiff
213,Bideford Road,Llanrumney,0.108186731,Cardiff
214,Birch Road,Fairwater,0.065892941,Cardiff
215,Birchfield Crescent,Canton,0.079079063,Cardiff
216,Birchgrove Road,Heath,0.057532766,Cardiff
217,Birchgrove Road,Whitchurch,0.082606667,Cardiff
218,Birchwood Gardens,Whitchurch,0.146917755,Cardiff
219,Birchwood Road,Penylan,0.522911837,Cardiff
220,Birkdale Close,Trowbridge,0.14255875,Cardiff
221,Bishop's Road,Whitchurch,0.106905941,Cardiff
222,Bishop Hannon drive,Fairwater,0.13,Cardiff
223,Bishop Hannon Drive,Fairwater,0.19289717,Cardiff
224,Bishop Street,Grangetown,0.02722,Cardiff
225,Bishops' Avenue,Llandaff,0.163782857,Cardiff
226,Bishops' Close,Llandaff,0.173645,Cardiff
227,Bishops' Place,Llandaff,0.212964737,Cardiff
228,Bishops' Walk,Llandaff,0.191036471,Cardiff
229,Bishops Close,Whitchurch,0.009888906,Cardiff
230,Bishops Court,Whitchurch,0.132,Cardiff
231,Bishops Place,Whitchurch,0.187445455,Cardiff
232,Bishops Walk,Llandaff,0.278045,Cardiff
233,Bishopston Road,Caerau,0.091753191,Cardiff
234,Bisley Close,Tremorfa,0.0358575,Cardiff
235,Black Oak Road,Cyncoed,0.1622875,Cardiff
236,Blackberry Way,Pontprennau,0.068352353,Cardiff
237,Blackbirds Way,Old St. Mellons,0.207839143,Cardiff
238,Blackmoor Place,Llanrumney,0.041707647,Cardiff
239,Blackstone Street,Riverside,0.07931,Cardiff
240,Blackweir Terrace,Cathays,0.126302941,Cardiff
241,Blaen y coed,Radyr and Morganstown,0.188421579,Cardiff
242,Blaen y Coed,Rhiwbina,0.238334643,Cardiff
243,Blaenavon Close,Trowbridge,0.0361375,Cardiff
244,Blaenclydach Place,Grangetown,0.154574,Cardiff
245,Blaenclydach Street,Grangetown,0.003049375,Cardiff
246,Blagdon Close,Llanrumney,0.315272727,Cardiff
247,Blaina Close,Trowbridge,0.015218571,Cardiff
248,Blaise Place,Grangetown,0.172369189,Cardiff
249,Blanche Street,Adamsdown,0.026442727,Cardiff
250,Blandon Way,Whitchurch,0.1601024,Cardiff
251,Blenheim Road,Penylan,0.093113117,Cardiff
252,Blethin Close,Llandaff,0.140735405,Cardiff
253,Bloom Street,Pontcanna,0.03488,Cardiff
254,Blosse Road,Llandaff North,0.052700909,Cardiff
255,Blossom Drive,Lisvane,0.199322558,Cardiff
256,Blue House Road,Llanishen,0.165616,Cardiff
257,Bluebell Drive,Llanrumney,0.200091538,Cardiff
258,Bluebell Drive,Old St. Mellons,0.235443,Cardiff
259,Bodnant Close,Trowbridge,0.0886592,Cardiff
260,Boleyn Walk,Penylan,0.289664694,Cardiff
261,Boncath Road,Llandaff North,0.250901081,Cardiff
262,Booker Street,Adamsdown,0.00824,Cardiff
263,Borage Close,Pentwyn,0.171487143,Cardiff
264,Borage Close,Pontprennau,0.193884762,Cardiff
265,Borrowdale Close,Penylan,0.068336667,Cardiff
266,Borth Road,Trowbridge,0.146736,Cardiff
267,Boswell Close,Llanrumney,0.039666667,Cardiff
268,Boulevard de Nantes,Castle,0.217390263,Cardiff
269,Boverton Street,Roath,0.152904737,Cardiff
270,Bow Street,Wenvoe,0.00012,Cardiff
271,Brachdy Close,Rumney,0.078266842,Cardiff
272,Brachdy Lane,Rumney,0.154408421,Cardiff
273,Brachdy Road,Rumney,0.134226774,Cardiff
274,Bracken Place,Fairwater,0.122785,Cardiff
275,Bradford Street,Grangetown,0.008228235,Cardiff
